	0	1
0	united	0.015157273221646167
1	states	0.014430264829028837
2	court	0.014430264829028837
3	of	0.014430264829028837
4	appeals	0.02026118513982193
5	for	0.014430264829028837
6	the	0.014430264829028837
7	first	0.018070603760003412
8	circuit	0.014430264829028837
9	no	0.014430264829028837
10	091504	6.548219102762372
11	america	1.3949275082645936
12	appellee	0.3001762282539433
13	v	0.015157273221646167
14	robert	1.4887936444966847
15	a	0.05295354682536425
16	urciuoli	6.548219102762372
17	defendant	0.3177376551838906
18	appellant	0.21316485126431353
19	errata	2.1599619183378547
20	opinion	0.7845966277501545
21	this	0.11608319181160665
22	issued	1.1410473313022538
23	on	0.015884810540023133
24	july	1.1545915564100109
25	20	0.9535077231605334
26	2010	5.295456134267004
27	should	0.4786367763904385
28	be	0.17831811993414542
29	amended	1.3949275082645936
30	as	0.12578415713786426
31	follows	1.2203429339727914
32	page	1.894258752604849
33	5	0.314789250099593
34	line	1.5080250064245724
35	3	0.1372221903347906
36	insert	3.8073790788371715
37	period	1.2082800615235163
38	after	0.34265174899232986
39	course	0.9205979890717354
40	091101	6.548219102762372
41	luis	3.0072597787250586
42	eligio	6.548219102762372
43	santanapă‰rez	6.548219102762372
44	091150	6.548219102762372
45	aquiles	6.548219102762372
46	carpiopouret	6.548219102762372
47	from	0.019530458033868874
48	district	0.04993695328593859
49	puerto	1.2549142780378801
50	rico	1.2130877630916195
51	hon	0.06894170619747263
52	juan	2.099702726819658
53	m	0.9332678418127871
54	pă©rezgimă©nez	6.548219102762372
55	us	0.028334623487448602
56	judge	0.018070603760003412
57	before	0.026861869171174134
58	lynch	1.8990320313575066
59	chief	0.8629400996707312
60	torruella	0.8748958355908799
61	and	0.015884810540023133
62	lipez	4.468777561082536
63	judges	0.3630398150309929
64	hă©ctor	6.548219102762372
65	l	1.0347903565973904
66	ramosvega	6.548219102762372
67	assistant	0.5718681934644387
68	federal	0.5897944097325907
69	public	1.4124206657121106
70	defender	3.603780123595932
71	with	0.1563019893697704
72	whom	0.5394059173197775
73	joseph	1.9581625545843293
74	c	0.9010069795945658
75	laws	1.6209654176051678
76	jr	1.5888771030536673
77	was	0.10488307473207033
78	brief	0.03573110691195375
79	santanapă©rez	6.548219102762372
80	jesăşs	6.548219102762372
81	riveradelgado	6.142753994654208
82	william	1.5210545067149062
83	brown	2.366168960121166
84	attorney	0.4235357118681678
85	criminal	1.170628555319828
86	division	2.1661924680884908
87	lanny	6.548219102762372
88	breuer	6.548219102762372
89	general	0.6817510458290758
90	rosa	4.0633124529743725
91	e	1.0069555576039464
92	rodră­guezvă©lez	6.548219102762372
93	were	0.2520310173477578
94	september	1.1343433955800635
95	8	0.45352130101273824
96	defendants	0.4580410827183578
97	santana	4.408152939266102
98	pă©rez	6.548219102762372
99	found	0.548042615052369
100	guilty	1.3387329499209515
101	violating	2.7195777062732773
102	18	0.7355822231940894
103	usc	0.3599549796797827
104	â§	5.855071922202427
105	2237a1	6.548219102762372
106	which	0.2167172528686815
107	makes	1.2803609436990444
108	it	0.1800319164118801
109	crime	1.7199053654600713
110	master	3.3912186816122594
111	operator	3.3912186816122594
112	or	0.19124376305325871
113	person	1.0801589616272413
114	in	0.029809550008516542
115	charge	1.4453085325569457
116	vessel	3.434703793551998
117	subject	0.8887368870027513
118	to	0.043182706220374685
119	jurisdiction	1.2350131237205852
120	knowingly	2.197941166403071
121	fail	2.0938718065088646
122	obey	4.408152939266102
123	an	0.14879256734763888
124	order	0.44342587034738723
125	by	0.10966777285540666
126	authorized	2.0049243204923686
127	law	0.41590624706701096
128	enforcement	1.7524285571656313
129	officer	1.564612481054036
130	heave	6.548219102762372
131	that	0.05977433871045287
132	vessel1	6.548219102762372
133	they	0.568068315554664
134	now	0.8197440155158
135	appeal	0.04467971248796794
136	their	0.5744094908931112
137	convictions	2.099702726819658
138	asserting	2.031880130480897
139	multiple	2.314112598165113
140	trial	0.7104886555964325
141	errors	2.2509336965435818
142	claiming	1.9134901145327365
143	evidence	0.47402315805692574
144	any	0.2538760363213271
